id,name,followers,genres,popularity,related_artists_count,related_artists_ids
5Ld19xtpAR80G2boTcHaVx,Harrison Storm,103533.0,"['indie anthem-folk', 'indie cafe pop', 'indie folk', 'indiecoustica']",60,20,0A3HlWZGV8WrCcqxKM2neg;56NSAhpJRoeaGi5uyUdYlI;6vUNwmljZAcn7tNtUoxG45;7IAFAOtc9kTYNTizhLSWM6;02YLJJnWC7YQVixkjEBRn7
4xUzciEb5JmPPxqWOdgQ5U,Ivana,3227.0,"['bulgarian pop', 'chalga']",29,20,0uQufSOI58CZsze92brlhq;7dOcrtda9FBmyDlH94mmbx;68VEkVQDjL2Q8JctZXJqfd;1q4FQjCgWnYE9bI3Yd5CWu;2yMeOkg2tXwXn9HroG3EhL
3rAnbTb64mLaQrlCEohRBa,Andro,110.0,[],24,20,1byMrPvnGPI8Csu9WPKaJm;0k0SPGRwjkmqM1rG8nNGjW;6DtXi7NXOdXlIILuCozICR;1yxLPqI8RMcczR0u8y9tBf;5OyVwBuWRLl5npoif9l5sJ
7KzNtHVcFbaZoGufsX1Jj0,Randomized Coffee,1010.0,['african electronic'],12,20,2lN3yllrsFyoobMnKSfzsI;3b3mpoxXuqNAVuxhb8BI6q;4v0yZUY1sPpcO0cjzlEMid;5kaVbTijVed7JCLpA9UEuh;4N82cZ2qHHDQYXIM7Af8sU
4gQOceTfcyC3AQHUE2gmVt,Sergio Galleguillo,40017.0,"['folclore santiagueno', 'folklore argentino']",44,20,4RWsSjLE6TMBwdYzHj2NiO;6ZyOle5O4r39i22AnY19Mk;0Pq8swkj2A7HrkT0iXOK9X;3wtmjgdgUKVK3tonnKSh9a;2Jro2lFfaK1LiUIIY8Ff48
7trKViRlVbKr7Yrh9ygHnS,Jose De Las Heras,2268.0,[],43,20,5ypEYwWaSgtjBPCPcredFM;26u8yZqpmuhdH9SvClAJrc;3ADyFy1orEwODaiHmRRMQp;0BHo5QBLAjH32hoe4xHGYq;3sDjufdk7xwwPnx7NNKE63
2SmW1lFlBJn4IfBzBZDlSh,The Warning,55692.0,"['mexican metal', 'monterrey indie']",47,20,2Y0OQr4evgMN3vjWzHLDDB;42MU49AUuormlixy1oPOS1;3MIBM0WpzpRBWon40wSNdj;3AcK3PXJ7bXyb3EpXKMoye;2zbqgvvyVeYuqGVOhc3xy1
348pk4o3EhKmsSahzuClSf,CA7RIEL,110118.0,"['argentine indie', 'electronica argentina', 'trap argentino']",58,20,3E7NGbzUGlOjgYY8nvtijR;5l4GdLELvdnXZVT5g947i3;7ejyCwT1b7MIwHVCVO8HjX;1nm9PdmvzPXJmIlMOk5XLy;1Mj0XQhXbzIXfoWTN391N6
5CorrQPbOid8RKf5rCpxG7,Sempre Livre,36245.0,['rock nacional brasileiro'],34,20,7hj6TfWecHlMmeUPwiAazv;6vTljcFMuDleItFOuSKoyj;0jczoZu9nJoC05lYmaWl3X;2TjzEhCBd9s3YPWKPwKZYo;3ISUva36663YvbTZVduBan
0jczoZu9nJoC05lYmaWl3X,Herva Doce,25343.0,['rock nacional brasileiro'],35,20,7hj6TfWecHlMmeUPwiAazv;3ISUva36663YvbTZVduBan;6vTljcFMuDleItFOuSKoyj;2TjzEhCBd9s3YPWKPwKZYo;4KWRrTJoM6MhOq3UTYctJV
7hj6TfWecHlMmeUPwiAazv,Dr. Silvana & Cia.,53949.0,['rock nacional brasileiro'],34,20,6vTljcFMuDleItFOuSKoyj;2TjzEhCBd9s3YPWKPwKZYo;0jczoZu9nJoC05lYmaWl3X;3ISUva36663YvbTZVduBan;4KWRrTJoM6MhOq3UTYctJV
2SQHdu1so7C2b5yBwnEUYP,Celso Blues Boy,20118.0,['brazilian blues'],33,20,4dOQmMX7BjiqA1TOZzDMm3;4S9mXn4iJGpq4vEzjqkoPZ;5obWz23lEqbJf7dyPSGvRv;6kJHpEjr5eNnVJeyfTbs3G;1PymZfgPOAECGxEWeGMVhU
6vTljcFMuDleItFOuSKoyj,Inimigos Do Rei,47641.0,['rock nacional brasileiro'],32,20,7hj6TfWecHlMmeUPwiAazv;3ISUva36663YvbTZVduBan;0jczoZu9nJoC05lYmaWl3X;2TjzEhCBd9s3YPWKPwKZYo;4KWRrTJoM6MhOq3UTYctJV
7JbnxPwULLxeR5eel5F3LF,Michael Fossenkemper,21.0,[],36,0,
1nwuifu5rxgVlrGwjjoJOt,Consciência Humana,86339.0,"['brazilian hip hop', 'rap nacional antigo']",36,20,0VeXKzjTBWHX5Lf5Kr6rLF;0MihNWp86Psp4ss7Evogvv;4Vaxb77sF92LF9z8ODEYzD;7BUfNHoRQsXyJrIP1iIrAI;3uyCb9gtdnzyXxdActGeJN
