track_id,track_name,artists,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
7nbj09isjVmgNYJ7eKBzyt,Something in the Orange,Zach Bryan,Your Perfect Soundtrack,0,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
6RfcUecxEqj4rFo9vhvpCr,Oklahoma Smokeshow,Zach Bryan,Country Road Songs,0,211739,False,0.544,0.573,8,-5.694,1,0.0356,0.0958,0.0,0.104,0.233,122.977,4,country
50c1S2S83wvta4UOk910MY,Oklahoma Smokeshow,Zach Bryan,Oklahoma Smokeshow - Breakout Country,0,211739,False,0.544,0.573,8,-5.694,1,0.0356,0.0958,0.0,0.104,0.233,122.977,4,country
7C9wYAslZ7ffzhJZTyaCYs,Something in the Orange,Zach Bryan,Laidback Country,0,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
3ph79KYuJ2bndNPA2c1tRH,I Love My Country,Florida Georgia Line,Country USA,0,185466,False,0.525,0.94,4,-3.546,1,0.065,0.0283,0.0,0.236,0.636,140.093,4,country
7M9ZOPynXtdsAYhDCeeYnN,Something in the Orange,Zach Bryan,Single Saturday Night - Country Songs,0,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country
4tYjwNdqpgvvgOt1O6li7x,Oklahoma Smokeshow,Zach Bryan,Never Leave - Country Magic,1,211739,False,0.544,0.573,8,-5.694,1,0.0356,0.0958,0.0,0.104,0.233,122.977,4,country
60HMnpDctYiFAoGkj5ciW6,Run Run Rudolph,Luke Bryan,Country Christmas Greatest Hits,2,172733,False,0.606,0.972,9,-4.872,1,0.0459,0.0217,0.000161,0.338,0.856,151.049,4,country
6UmnCDi8DGVLqh7M2gltkq,Have You Ever Seen The Rain,Creedence Clearwater Revival,Rock Workout 2023,1,160133,False,0.741,0.697,0,-7.03,1,0.0277,0.0665,2.35e-05,0.133,0.774,116.109,4,country
6ZqH4uUlj3rArdFyaejq9n,"Burn, Burn, Burn",Zach Bryan,Burn Burn Burn - Hot Country Hits,0,268856,False,0.508,0.296,3,-10.513,1,0.0755,0.897,5e-05,0.11,0.134,82.532,4,country
62GUsHPmjBVmuDmyE3PuGP,Oklahoma Smokeshow,Zach Bryan,New Country Hits,0,211739,False,0.544,0.573,8,-5.694,1,0.0356,0.0958,0.0,0.104,0.233,122.977,4,country
49oArb5U9DsUXpPSjDPsob,Have You Ever Seen The Rain,Creedence Clearwater Revival,REGNIG DAG,1,159693,False,0.779,0.662,0,-5.826,1,0.0284,0.141,1.16e-05,0.119,0.811,116.115,4,country
754GZNuFfUJ0RVPjG8Gwaw,Rain Is A Good Thing,Luke Bryan,Artsy & Colourful,0,176160,False,0.622,0.931,11,-4.66,0,0.0507,0.106,2.45e-06,0.328,0.521,108.051,4,country
71Qz8eIA8FAty6bWWowNDH,Run Run Rudolph,Luke Bryan,Christmas Country Songs 2022,0,174360,False,0.611,0.972,9,-4.845,1,0.0464,0.0253,0.000111,0.28,0.871,150.992,4,country
4ciJOrk7GS4N0wJeQJATLN,If She Wants a Cowboy,Zach Bryan,Good Times Country,3,192293,False,0.553,0.823,7,-3.194,1,0.0689,0.0201,0.0,0.111,0.552,133.781,4,country
2wSZhX2Yvslh1oZFFjj45p,Sun Daze,Florida Georgia Line,Tailgate Country,0,185400,False,0.484,0.944,4,-3.652,1,0.0413,0.0901,0.0,0.471,0.839,170.064,4,country
7m0ZqFw6SHoAvtEccpMOs3,Hello Mary Lou,Creedence Clearwater Revival,Best 70s Rock Tunes,2,134440,False,0.633,0.674,9,-8.638,1,0.0348,0.0572,0.00154,0.0504,0.965,103.426,4,country
6ndj9mwGI2t50WWLPwLzIM,Heavy Eyes,Zach Bryan,Finest Country,0,190780,False,0.471,0.912,5,-3.032,1,0.0724,0.032,0.0,0.343,0.613,139.667,4,country
4nyN0a40cy71y5kWMLL6A2,I Put A Spell On You,Creedence Clearwater Revival,Twisted Halloween Hits,0,271786,False,0.393,0.732,4,-8.188,0,0.0295,0.00471,0.123,0.0979,0.621,100.41,4,country
014SIjoLDG1Ku19c5FlDYh,I Put A Spell On You,Creedence Clearwater Revival,Pumpkin Patch Hits,0,271786,False,0.393,0.732,4,-8.188,0,0.0295,0.00471,0.123,0.0979,0.621,100.41,4,country
1Ygg8lP3sRwkN9aEyBQgC6,Bad Moon Rising,Creedence Clearwater Revival,Fishing Music,1,141600,False,0.508,0.769,2,-5.973,1,0.0326,0.0577,6.1e-06,0.063,0.939,178.95,4,country
2rggQ3hWhqF27FaxGLPnth,I Put A Spell On You,Creedence Clearwater Revival,Halloween Scary Party,0,270360,False,0.437,0.742,4,-7.062,0,0.0291,0.00651,0.037,0.112,0.688,102.186,4,country
6Pt0FLZMQcycOm3BwToqQa,Fortunate Son,Creedence Clearwater Revival,Christmas time but not Christmas songs 2022,0,140773,False,0.64,0.663,0,-7.516,1,0.0373,0.201,0.00806,0.152,0.665,132.768,4,country
3h39RyWGw1toh9dpSeNbdE,Bad Moon Rising,Creedence Clearwater Revival,60s Christmas Party,0,141600,False,0.508,0.769,2,-5.973,1,0.0326,0.0577,6.1e-06,0.063,0.939,178.95,4,country
0BIpEYy15QaMusucc8H0l7,Bad Moon Rising - Remastered 1985,Creedence Clearwater Revival,Anthems for Witches 2022,0,139279,False,0.621,0.85,2,-4.203,1,0.0311,0.0221,1.52e-06,0.0581,0.923,89.497,4,country
3qFSZXYoXpyjTvlG4jX9hJ,Heading South,Zach Bryan,Single Saturday Night - Country Songs,0,210304,True,0.617,0.378,4,-7.108,1,0.0662,0.808,2.33e-05,0.179,0.345,98.299,4,country
